metric,index,values
val_acc_outer,9,"[0.80277777 0.78055555 0.78055555 0.76666665 0.7638889  0.75
 0.74166667 0.74444443 0.73333335 0.7361111  0.73333335 0.7361111
 0.74166667 0.74444443 0.75       0.74166667 0.73888886 0.74166667
 0.72777778 0.70833331 0.68611109 0.6722222  0.64444447 0.62222224
 0.6111111  0.60000002 0.59166664 0.58888888 0.58333331 0.58055556
 0.55555558 0.55277777 0.53611112 0.53333336 0.51111114 0.50277776
 0.50833333 0.50555557 0.50277776 0.50555557 0.49166667 0.49444443
 0.47222221 0.46388888 0.44999999 0.43333334 0.43333334 0.42777777
 0.43888888 0.42777777]"
test_acc_outer,0,"[0.85000002 0.84166664 0.81388891 0.81388891 0.81388891 0.80277777
 0.7972222  0.79166669 0.78055555 0.75833333 0.75555557 0.76944447
 0.75277776 0.74444443 0.72777778 0.70833331 0.69722223 0.69166666
 0.68611109 0.65833336 0.64999998 0.63055557 0.58611113 0.60833335
 0.58333331 0.55555558 0.52222222 0.53055555 0.52777779 0.53333336
 0.52222222 0.49444443 0.49444443 0.45833334 0.44444445 0.43055555
 0.41944444 0.38333333 0.35833332 0.34722221 0.35833332 0.35277778
 0.33333334 0.32222223 0.30555555 0.33333334 0.32777777 0.32777777
 0.29444444 0.29444444]"
test_acc_outer,1,"[0.75555557 0.75       0.7361111  0.68055558 0.69444442 0.67777777
 0.68888891 0.68888891 0.67500001 0.66388887 0.68333334 0.67777777
 0.66944444 0.66666669 0.66944444 0.64999998 0.64722222 0.6388889
 0.64722222 0.63055557 0.6388889  0.63611114 0.64166665 0.60833335
 0.59444445 0.59444445 0.52499998 0.51666665 0.50277776 0.49444443
 0.49444443 0.48888889 0.4861111  0.47499999 0.47777778 0.47222221
 0.45277777 0.44444445 0.42500001 0.41111112 0.40000001 0.37777779
 0.38333333 0.38611111 0.37777779 0.37777779 0.37222221 0.3611111
 0.35833332 0.33888888]"
test_acc_outer,2,"[0.7972222  0.76666665 0.75       0.75555557 0.7361111  0.72222221
 0.72222221 0.71388888 0.71666664 0.73888886 0.7027778  0.68888891
 0.67777777 0.6722222  0.6722222  0.6722222  0.69444442 0.6722222
 0.6388889  0.625      0.62222224 0.60000002 0.59166664 0.56388891
 0.54444444 0.53611112 0.51944447 0.5        0.46666667 0.43888888
 0.41944444 0.41111112 0.38333333 0.37777779 0.36666667 0.35555556
 0.33333334 0.31666666 0.30277777 0.29166666 0.29166666 0.28611112
 0.28055555 0.27500001 0.25833333 0.23333333 0.22499999 0.21666667
 0.21666667 0.21944444]"
test_acc_outer,3,"[0.83055556 0.80277777 0.81111109 0.80555558 0.80833334 0.80555558
 0.79444444 0.78888887 0.76666665 0.77777779 0.76666665 0.76111114
 0.73055553 0.72500002 0.73055553 0.73333335 0.72222221 0.69444442
 0.69722223 0.69722223 0.68055558 0.67777777 0.68333334 0.65833336
 0.66111112 0.64444447 0.63055557 0.64166665 0.625      0.60833335
 0.5777778  0.54444444 0.56111109 0.5472222  0.53055555 0.51666665
 0.48055556 0.48055556 0.44999999 0.43333334 0.42500001 0.42500001
 0.4138889  0.40000001 0.3888889  0.36388889 0.34722221 0.34166667
 0.33888888 0.32777777]"
test_acc_outer,4,"[0.81388891 0.78888887 0.78055555 0.7638889  0.76111114 0.75277776
 0.73333335 0.73333335 0.72222221 0.69999999 0.69722223 0.69999999
 0.7027778  0.69444442 0.68055558 0.6722222  0.65555555 0.63611114
 0.63055557 0.62777776 0.61944443 0.60833335 0.60833335 0.59444445
 0.5777778  0.56111109 0.54166669 0.52777779 0.50555557 0.48333332
 0.47777778 0.46666667 0.44166666 0.42777777 0.4138889  0.39166668
 0.37777779 0.36388889 0.36666667 0.375      0.36388889 0.34722221
 0.34722221 0.33055556 0.33333334 0.3361111  0.32499999 0.31944445
 0.30000001 0.29722223]"
test_acc_outer,5,"[0.76944447 0.74722224 0.7361111  0.72777778 0.72500002 0.71944445
 0.70833331 0.69999999 0.70555556 0.70833331 0.7027778  0.70833331
 0.70833331 0.7027778  0.70833331 0.70555556 0.69722223 0.68888891
 0.68055558 0.66666669 0.67500001 0.67500001 0.66666669 0.6388889
 0.64166665 0.6388889  0.625      0.62777776 0.6111111  0.60833335
 0.60277778 0.59166664 0.57222223 0.54166669 0.5138889  0.49166667
 0.48055556 0.45833334 0.43055555 0.43055555 0.41666666 0.40555555
 0.3888889  0.37777779 0.3361111  0.33055556 0.31111112 0.30833334
 0.30000001 0.30277777]"
test_acc_outer,6,"[0.76111114 0.73888886 0.74444443 0.73888886 0.74722224 0.75277776
 0.74166667 0.73055553 0.70555556 0.69722223 0.68333334 0.69166666
 0.67777777 0.66111112 0.64722222 0.6388889  0.62777776 0.62777776
 0.61666667 0.60000002 0.59166664 0.58611113 0.57499999 0.55555558
 0.55000001 0.53055555 0.52222222 0.48888889 0.47222221 0.45277777
 0.43055555 0.41944444 0.41666666 0.40277779 0.3888889  0.38055557
 0.37777779 0.37777779 0.375      0.36666667 0.34166667 0.33888888
 0.33888888 0.31944445 0.30555555 0.30555555 0.30000001 0.29444444
 0.28333333 0.2888889 ]"
test_acc_outer,7,"[0.77222222 0.75555557 0.74166667 0.73888886 0.73888886 0.73888886
 0.73333335 0.73055553 0.72500002 0.71388888 0.71111113 0.70555556
 0.69444442 0.68333334 0.69722223 0.68055558 0.67777777 0.67500001
 0.64444447 0.65833336 0.63611114 0.60833335 0.56666666 0.54444444
 0.55277777 0.53611112 0.53333336 0.52222222 0.52499998 0.52777779
 0.50833333 0.50555557 0.48055556 0.47499999 0.46944445 0.45555556
 0.44444445 0.44722223 0.40000001 0.37222221 0.37777779 0.3611111
 0.34444445 0.3361111  0.31111112 0.30000001 0.28611112 0.27500001
 0.24722221 0.26666668]"
test_acc_outer,8,"[0.76111114 0.72222221 0.7361111  0.71111113 0.71388888 0.72222221
 0.71111113 0.68888891 0.68611109 0.66111112 0.64722222 0.64999998
 0.64444447 0.63611114 0.64999998 0.64999998 0.65277779 0.64722222
 0.64166665 0.62777776 0.6111111  0.60277778 0.60000002 0.6111111
 0.59722221 0.5777778  0.56666666 0.5472222  0.53611112 0.52222222
 0.5138889  0.4861111  0.47499999 0.46388888 0.4611111  0.43055555
 0.41666666 0.41111112 0.4138889  0.40555555 0.40000001 0.39722222
 0.38611111 0.3611111  0.34999999 0.36388889 0.3361111  0.32499999
 0.31666666 0.30000001]"
